"row_id","path","date","views","pathTail","story_id","headline","teaser","neutral","happy","sad","fear","anger","disgust","surprise","valence","primary_emotion"
"1","/new-york/features/apartmentality/15-predictions-for-nycs-housing-market-2015","2015-04-13","114","15-predictions-for-nycs-housing-market-2015","577993","15 Predictions for NYC's Housing Market in 2015","<p>Expect a shift in the strategies of developers in 2015, including a focus on all things smaller.</p>","0.00","0.20","0.20","0.00","0.00","0.00","0.00","0","7"
"2","/new-york/features/apartmentality/how-green-card-seeking-investors-from-china-are-fueling-nyc-construction","2015-04-13","133","how-green-card-seeking-investors-from-china-are-fueling-nyc-construction","602277","How Green Card-Seeking Investors from China Are Fueling NYC Construction","<p>The federal EB-5 program awards visas to immigrants investing $500,000 in job-creating projects.</p>","0.17","0.00","0.00","0.00","0.00","0.00","0.00","0","0"
"3","/new-york/features/apartmentality/motor-courts-valets-1m-spots-parking-as-ultimate-manhattan-amenity","2015-04-13","533","motor-courts-valets-1m-spots-parking-as-ultimate-manhattan-amenity","612149","$1M Parking Spaces Among High-End Amenities For Cars at Manhattan Apts.","<p>$1 million parking spots, grand motor courts and other high-end car amenities at new Manhattan condos.</p>","0.00","0.24","0.00","0.00","0.00","0.24","0.24","1","7"
"5","/new-york/features/get-out-do-this/4-things-for-you-do-new-york-citys-neighborhoods-this-week","2015-04-13","178","4-things-for-you-do-new-york-citys-neighborhoods-this-week","613405","4 Things for You to Do in New York City's Neighborhoods This Week","<p>S&aacute;mi culture, jazz stories and the Frieze Art Fair are on this week&#39;s agenda.</p>","0.00","0.23","0.04","0.04","0.15","0.05","0.00","1","1"
"6","/new-york/features/get-out-do-this/5-things-for-you-do-new-york-citys-neighborhoods-this-weekend","2015-04-13","1529","5-things-for-you-do-new-york-citys-neighborhoods-this-weekend","613102","5 Things for You To Do in New York City's Neighborhoods This Weekend","<p>This week famous writers discuss their work and we celebrate NYC design and Hip Hop culture.</p>","0.00","0.23","0.04","0.04","0.04","0.05","0.00","-1","1"
"8","/new-york/features/get-out-do-this/8-things-do-brooklyns-neighborhoods-this-weekend","2015-04-13","1539","8-things-do-brooklyns-neighborhoods-this-weekend","613077","8 Things to Do in Brooklyn's Neighborhoods This Weekend ","<p>Bike through the borough, check out neighborhood portraits, or visit a local crafts market this weekend.</p>","0.00","0.00","0.04","0.04","0.04","0.04","0.00","-1","7"
"9","/new-york/features/on-inside/gov-cuomo-under-fire-for-being-no-show-at-state-police-memorials","2015-04-13","352","gov-cuomo-under-fire-for-being-no-show-at-state-police-memorials","611871","Gov. Cuomo Under Fire for Being No-Show at State Police Memorials","<p>Cuomo skipped the past four memorials and is not expected to attend this year&#39;s event, officials said.</p>","0.00","0.18","0.09","0.04","0.04","0.04","0.18","-1","7"
"10","/new-york/features/open-house-insider/open-house-agenda-3-apartments-see-this-weekend","2015-04-13","2643","open-house-agenda-3-apartments-see-this-weekend","641635","Open House Agenda: 3 Apartments to See This Weekend","<p>These units offer good looks, good value and a little something extra.</p>","0.00","0.75","0.06","0.60","0.53","0.53","0.09","-1","1"
"12","/new-york/features/openings-closings/boutique-selling-only-brooklyn-made-goods-opening-williamsburg","2015-04-13","702","boutique-selling-only-brooklyn-made-goods-opening-williamsburg","613195","Boutique Selling Only Brooklyn-Made Goods Opening in Williamsburg","<p>It&#39;s the second location for By Brooklyn, which opened in Carroll Gardens in 2011.</p>","0.00","0.00","0.25","0.18","0.00","0.00","0.00","-1","7"
"13","/new-york/features/openings-closings/chef-who-once-cooked-for-royalty-opening-new-restaurant","2015-04-13","162","chef-who-once-cooked-for-royalty-opening-new-restaurant","611373","Chef Who Once Cooked for Royalty Opening New Restaurant","<p>Chef Stewart Wadden wants to bring a farm-fresh menu to a former Indian restaurant on 37th Avenue.</p>","0.00","0.00","0.00","0.00","0.00","0.05","0.00","-1","7"
