"row_id","path","date","views","pathTail","story_id","headline","teaser","neutral","happy","sad","fear","anger","disgust","surprise","valence","primary_emotion"
"1","/new-york/features/on-inside/nypd-investigating-threats-kill-officers-on-new-years-eve-sources-say","20150101","25180","nypd-investigating-threats-kill-officers-on-new-years-eve-sources-say","579026"," NYPD Investigates Threats to Kill Officers on New Year's Eve, Sources Say","<p>NYPD Commissioner Bill Bratton said that 15 arrests have been made related to threats on social media.</p>","0.00","0.00","0.04","0.00","0.75","0.05","0.00","-1","7"
"4","/new-york/story/fordham-tremont/morris-heights/nypd-officer-custody-for-bear-hugging-choking-mta-worker-police-say","20150101","2250","nypd-officer-custody-for-bear-hugging-choking-mta-worker-police-say","579344","NYPD Officer in Custody For Bear-Hugging and Choking MTA Worker, Police Say","<p>Internal Affairs is investigating the officer for the attack, but he has not been charged.</p>","0.00","0.05","0.00","0.00","0.00","0.00","0.05","-1","7"
"6","/new-york/features/on-inside/city-hall-asked-pols-attack-pba-as-mayor-coaxed-unions-meet-sources","20150101","2008","city-hall-asked-pols-attack-pba-as-mayor-coaxed-unions-meet-sources","578882","City Hall Pushed Pols to Attack PBA as Mayor Coaxed Unions To Meet: Sources","<p>Aides to de Blasio asked Democrats to blast Pat Lynch and officers who turned their backs on mayor.</p>","0.00","0.23","0.00","0.00","0.05","0.00","0.05","1","1"
"8","/new-york/story/astoria-long-island-city/astoria/how-get-rid-of-your-christmas-tree-new-york-city","20150101","1645","how-get-rid-of-your-christmas-tree-new-york-city","578890","How to Get Rid of Your Christmas Tree in New York City ","<p>Leave it curbside, turn it into mulch or pay to have someone haul it away.</p>","0.00","0.60","0.60","0.68","0.68","0.53","0.02","-1","7"
"9","/new-york/story/south-bronx/melrose/26-year-old-bronx-man-dies-first-homicide-of-2015","20150101","1428","26-year-old-bronx-man-dies-first-homicide-of-2015","579289","26-Year-Old Bronx Man Dies in First Homicide of 2015","<p>Herb Huntley was shot in the St. Mary&#39;s Park Houses before 3 a.m. Thursday morning, police said.</p>","0.00","0.04","0.00","0.00","0.00","0.00","0.00","1","1"
"10","/new-york/story/jackson-heights-elmhurst/corona/three-dead-lefrak-city-fire-on-new-years-eve","20150101","1200","three-dead-lefrak-city-fire-on-new-years-eve","579278","Three Dead in LeFrak City Fire Sparked by Unattended Stove","<p>Louise Jean-Charles, 59, Nadia Donnay, 39, Napoleon Michel, 69 were killed.</p>","0.00","0.23","0.75","0.04","0.04","0.00","0.04","-1","2"
"13","/new-york/story/borough-park-midwood/kensington/photographer-killed-hit-and-run-was-on-her-way-new-years-concert","20150102","1564","photographer-killed-hit-and-run-was-on-her-way-new-years-concert","579481","Photographer Killed in Hit-and-Run Was on Her Way to New Year's Concert","<p>Guler Ugur-Yaacobi attended the show at St. John the Divine every year, friends said.</p>","0.00","0.00","0.00","0.00","0.00","0.05","0.00","-1","7"
"16","/new-york/story/washington-heights-inwood/hudson-heights/coffeed-takes-over-fort-tryon-parks-new-leaf-restaurant","20150102","1305","coffeed-takes-over-fort-tryon-parks-new-leaf-restaurant","579234","Coffeed Takes Over Fort Tryon Park's New Leaf Restaurant","<p>The New York coffee shop chain focuses on local ingredients and charitable giving.&nbsp;</p>","0.00","0.00","0.00","0.00","0.00","0.13","0.03","-1","7"
"17","/new-york/story/fordham-tremont/morris-heights/nypd-officer-custody-for-bear-hugging-choking-mta-worker-police-say","20150102","1146","nypd-officer-custody-for-bear-hugging-choking-mta-worker-police-say","579344","NYPD Officer in Custody For Bear-Hugging and Choking MTA Worker, Police Say","<p>Internal Affairs is investigating the officer for the attack, but he has not been charged.</p>","0.00","0.05","0.00","0.00","0.00","0.00","0.05","-1","7"
"18","/new-york/story/astoria-long-island-city/astoria/how-get-rid-of-your-christmas-tree-new-york-city","20150102","1129","how-get-rid-of-your-christmas-tree-new-york-city","578890","How to Get Rid of Your Christmas Tree in New York City ","<p>Leave it curbside, turn it into mulch or pay to have someone haul it away.</p>","0.00","0.60","0.60","0.68","0.68","0.53","0.02","-1","7"
